bss,x,y,geometry,dpt,prof,alt,masse_eau,codes_bdlisa,CodeEH,InclusEH,EtatEH,NatureEH,MilieuEH,ThemeEH,OrigineEH
09654X0569/CNRP20,4.607080107,43.84827415,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.60708010724364, 43.8482741496686]}",30,18.0,12.0,"[""Alluvions du Rhône du confluent de la Durance jusqu'à Arles et Beaucaire et alluvions du Bas Gardon""]",712AJ05,712AJ05,712AJ,2,5.0,1,1.0,1.0
09924X0136/PZ20,4.662014313,43.661048556,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.66201431288779, 43.6610485557871]}",13,,23.7,,,,,,,,,
09735X0070/P40,7.217690811,43.786135485,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [7.21769081057282, 43.7861354853968]}",06,20.0,75.0,,,,,,,,,
09892X0679/EXH70,3.327317107,43.695575718,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.32731710695282, 43.6955757184355]}",34,205.0,157.79,['Pélites permiennes et calcaires cambriens du lodévois'],651AA00,651AA00,651AA,3,5.0,3,2.0,2.0
10615X0047/F0,2.921967961,43.05452813,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.921967960800352, 43.054528130487455]}",11,150.0,27.0,['Calcaires et marnes jurassiques et triasiques de la nappe charriée des Corbières'],681AO00,681AO00,681AO,2,5.0,3,4.0,2.0
08022X0013/SP0,-0.976248919,44.957675426,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.976248919364571, 44.9576754264463]}",33,12.0,32.12,,308AC01,308AC01,308AC,2,5.0,1,2.0,1.0
09648X0083/F90-1,4.23089743,43.744145491,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.23089742979381, 43.7441454914866]}",30,153.0,62.0,['Calcaires du crétacé supérieur des garrigues nîmoises et extension sous couverture'],643AF00,643AF00,643AF,2,5.0,4,2.0,2.0
08472X0007/F-1,6.582662145,44.738691198,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.58266214540976, 44.7386911982622]}",05,4.6,926.74,['Alluvions Durance amont'],525BD00,525BD00,525BD,2,6.0,2,4.0,2.0
06216X0226/P30-01,3.388829135,46.260586622,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.38882913479055, 46.260586622234]}",03,7.12,248.76,"[""Alluvions de l'Allier aval""]",040AM01,,,,,,,
07662X0277/45B-01,3.367729971,45.357221793,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.36772997081038, 45.3572217929638]}",43,9.43,408.16,"[""Alluvions de l'Allier amont""]",932AC01,932AC01,932AC,2,5.0,1,1.0,1.0
04514X0018/01,-1.532564016,47.443568836,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-1.53256401579496, 47.4435688357656]}",44,19.5,12.0,['Sables et calcaires du bassin tertiaire de Nort-sur-Erdre libres'],,,,,,,,
09266X0004/LC101,-0.272877691,43.960162747,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.272877691082119, 43.9601627474627]}",40,4002.0,107.7,,334AC05,334AC05,334AC,1,5.0,1,2.0,1.0
09505X0034/GO01,-1.035321265,43.788966613,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-1.03532126478947, 43.7889666125882]}",40,2208.5,55.29,,340AA02,340AA02,340AA,1,5.0,4,2.0,1.0
10602X0001/111111,2.687007677,43.161439067,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.68700767684536, 43.1614390673358]}",11,,88.0,"[""Calcaires éocènes du massif de l'Alaric""]",681AQ03,681AQ03,681AQ,2,5.0,9,2.0,1.0
10383X0025/111111,2.746482646,43.354073627,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.7464826462536607, 43.35407362743094]}",34,,190.0,"['Formations plissées du Haut Minervois, Monts de Faugères, St Ponais et Pardailhan']",681AC03,681AC03,681AC,2,5.0,3,4.0,1.0
09645X0035/111111,4.021303165,43.770492715,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.021303165422928, 43.770492714718074]}",34,10.0,77.0,['Calcaires et marnes jurassiques des garrigues nord-montpellieraines - système du Lez'],631AG00,631AG00,631AG,3,5.0,3,2.0,2.0
09364X0017/111111,3.64180877,44.081133839,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.6418087699995367, 44.08113383858854]}",30,,1003.13,"[""Socle cévenol dans le BV de l'Hérault""]",691AA01,691AA01,691AA,2,7.0,4,3.0,1.0
08635X0015/LZG211,3.734998055,44.486356315,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.734998055084225, 44.48635631465865]}",48,0.0,1200.0,,946AA01,,,,,,,
05373X0545/5411,-0.879629392,47.059019177,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.8796293918456486, 47.059019177278294]}",49,22.0,107.0,['Bassin versant de la Sèvre Nantaise'],181AE01,181AE01,181AE,2,6.0,2,3.0,1.0
07968X0186/RE11,5.700698352,45.072061448,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.70069835184826, 45.072061448208]}",38,26.88,277.0,['Alluvions de la rive gauche du Drac et secteur Rochefort'],714DA01,714DA01,714DA,2,5.0,1,1.0,1.0
07543X0023/F11,-0.822626322,45.359403048,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.822626321637069, 45.3594030481178]}",33,9.0,4.28,,944AA03,944AA03,944AA,3,5.0,1,1.0,1.0
07791X0220/PZEM11,-0.661181952,45.154644026,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.661181952002907, 45.1546440260224]}",33,30.0,4.38,,,,,,,,,
04808X0027/N11,-1.883324581,47.227272296,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-1.88332458070021, 47.2272722955547]}",44,30.0,3.81,['Alluvions de la Loire armoricaine'],930FA01,930FA01,930FA,2,5.0,1,1.0,1.0
09765X0158/R11,-1.436719926,43.585167601,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-1.43671992616371, 43.5851676007428]}",40,54.0,5.0,,,,,,,,,
10193X0169/PZ11,4.908514885,43.503687694,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.90851488522421, 43.503687694105]}",13,17.78,13.56,,561AF00,561AF00,561AF,2,5.0,1,2.0,2.0
05986X0106/P16-21,3.358034449,46.484443132,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.35803444912538, 46.484443132378]}",03,12.9,215.66,"[""Alluvions de l'Allier aval""]",932AR01,932AR01,932AR,2,5.0,1,1.0,1.0
05005X0131/CG-21,5.081135291,47.182558817,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.0811352907561, 47.182558816841]}",21,96.0,216.0,['Alluvions nappe de Dijon sud (superficielle et profonde)'],505AD00,505AD00,505AD,1,5.0,1,2.0,2.0
09516X0030/P21,-0.62154548,43.767224891,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.621545480484709, 43.7672248905404]}",40,,29.0,,948AA03,948AA03,948AA,3,5.0,1,1.0,1.0
09931X0263/PZ21,4.729532093,43.673155841,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.72953209332456, 43.6731558411908]}",13,,28.81,,561AF00,561AF00,561AF,2,5.0,1,2.0,2.0
05373X0542/541,-0.879629392,47.059019177,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.8796293918456486, 47.059019177278294]}",49,40.0,107.0,['Bassin versant de la Sèvre Nantaise'],181AE01,181AE01,181AE,2,6.0,2,3.0,1.0
09662X0038/F41,4.824484393,43.870329768,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.82448439294381, 43.8703297679012]}",13,34.4,22.58,['Alluvions basse Durance'],716DA01,716DA01,716DA,2,5.0,1,1.0,1.0
07598X0005/A81,1.07042,45.24972,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.07042, 45.24972]}",24,66.0,165.8,,358AE07,358AE07,358AE,1,5.0,5,2.0,1.0
01446X0005/S3-91,-0.907758444,48.977691981,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.90775844427113, 48.9776919812492]}",14,100.5,217.0,['Socle du bassin versant amont de la Vire'],165AA04,165AA04,165AA,2,5.0,2,3.0,1.0
09914X0391/V1191,4.232148001,43.662281999,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.23214800115349, 43.662281998545]}",30,12.65,3.83,['Alluvions anciennes de la Vistrenque et des Costières'],647AA01,647AA01,647AA,3,5.0,1,2.0,1.0
10388X0001/OUPIA1,2.797688855,43.278011859,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.79768885540732, 43.278011858518]}",11,2345.0,79.5,,334AJ07,334AJ07,334AJ,3,5.0,3,2.0,1.0
08915X0028/PMA-B1,5.112225223,44.314473115,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.11222522336523, 44.3144731151508]}",26,100.0,306.62,['Molasses miocènes du Comtat'],561AA00,561AA00,561AA,3,5.0,1,2.0,2.0
10136X0222/C1,2.694094129,43.4652996,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.69409412877352, 43.4652995998256]}",34,35.0,405.0,"['Formations plissées du Haut Minervois, Monts de Faugères, St Ponais et Pardailhan']",681AC02,681AC02,681AC,2,5.0,3,4.0,1.0
03296X1032/PC1,2.683238411,48.115991501,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.68323841090307, 48.1159915013808]}",45,37.0,93.5,['Multicouches craie du Séno-turonien et calcaires de Beauce libres'],121AR01,121AR01,121AR,2,5.0,9,2.0,1.0
04545X0120/PAD1,-0.655985469,47.356947606,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.6559854693718944, 47.356947606116265]}",49,17.73,16.38,['Alluvions de la Loire armoricaine'],930FA01,930FA01,930FA,2,5.0,1,1.0,1.0
09394X0005/FE1,4.598364841,44.097238236,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.59836484068238, 44.0972382362536]}",30,105.0,73.0,['Formations variées côtes du Rhône rive gardoise'],643AG00,643AG00,643AG,3,6.0,4,2.0,2.0
02388X0060/F1,-4.350352101,48.459155583,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-4.35035210071677, 48.4591555834085]}",29,19.5,120.0,['Bassin versant du Léon'],191AA03,191AA03,191AA,2,5.0,2,3.0,1.0
08422X0190/F1,4.791297927,44.756363859,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.79129792678413, 44.7563638593125]}",26,11.5,95.0,['Alluvions de la Drôme'],529AA00,529AA00,529AA,1,7.0,1,2.0,2.0
08541X0001/F1,0.36109893,44.601661954,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [0.3610989303935742, 44.60166195353106]}",47,287.0,49.56,,334AG03,334AG03,334AG,1,5.0,1,2.0,1.0
08291X0001/F1,0.08594255,44.768224425,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [0.08594255039392981, 44.7682244254092]}",33,321.0,33.16,,334AG03,334AG03,334AG,1,5.0,1,2.0,1.0
08032X0001/F1,-0.603808464,44.98219491,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.6038084636909891, 44.98219491042186]}",33,276.0,5.92,,,,,,,,,
07793X0001/F1,-0.49612947,45.081718613,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.49612946966343446, 45.08171861288633]}",33,62.0,8.0,,330AA03,330AA03,330AA,3,6.0,1,2.0,1.0
07804X0001/F1,-0.037473755,45.099621232,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.037473754556225314, 45.099621231953954]}",33,141.0,16.5,,334AG03,334AG03,334AG,1,5.0,1,2.0,1.0
08026X0001/F1,-0.989248899,44.919093455,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.9892488990795079, 44.9190934551207]}",33,155.0,32.39,,320AA01,320AA01,320AA,1,5.0,4,2.0,1.0
08057X0001/F1,0.217274669,44.840629706,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [0.21727466864513678, 44.84062970560823]}",33,247.0,18.0,,334AG03,334AG03,334AG,1,5.0,1,2.0,1.0
04248X0001/F1,-0.104025743,47.542873199,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.10402574335662962, 47.54287319897958]}",49,16.6,54.42,['Craie du Séno-Turonien interfluve Loire - Loir libre'],121AB07,121AB07,121AB,3,5.0,4,2.0,1.0
07788X0001/F1,-0.799283727,45.026953687,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.7992837273003544, 45.02695368687914]}",33,242.0,26.05,,,,,,,,,
07298X0001/F1,-1.060435925,45.356054689,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-1.0604359247228716, 45.356054688541946]}",33,52.0,11.22,,324AA01,324AA01,324AA,1,5.0,8,2.0,1.0
09518X0021/F1,-0.429481531,43.776000259,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.4294815308531154, 43.77600025910956]}",40,7.3,55.0,,948AA03,948AA03,948AA,3,5.0,1,1.0,1.0
07786X0051/F1,-0.9621,45.040435948,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.962100000330874, 45.0404359478471]}",33,8.96,30.0,,,,,,,,,
08271X0002/F1,-0.68218004,44.744478818,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.6821800398119625, 44.744478818209075]}",33,102.0,51.74,,,,,,,,,
07545X0002/F1,-1.025003675,45.254374518,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-1.025003674696369, 45.25437451780438]}",33,34.3,17.98,,,,,,,,,
08756X0032/F1,-0.620176372,44.349898972,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.620176372461635, 44.3498989715319]}",40,1646.0,67.0,,352AA01,352AA01,352AA,1,5.0,5,2.0,1.0
04854X0242/F1,-0.078066719,47.259053422,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.07806671914258308, 47.259053422253444]}",49,49.1,27.5,['Sables et grès du Cénomanien libres Maine et Haut-Poitou'],123AE05,123AE05,123AE,3,5.0,1,2.0,1.0
05031X0072/F1,6.151726681,47.305118991,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.151726681079638, 47.30511899114504]}",25,181.0,263.94,['Calcaires profonds des avants-mont dans la vallée du Doubs'],515AS00,515AS00,515AS,2,5.0,5,2.0,3.0
10152X0013/F1,3.379232603,43.53980131,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.3792326034233207, 43.539801310464384]}",34,36.0,84.91,,657AB00,657AB00,657AB,3,6.0,1,2.0,2.0
09267X0013/F1,-0.105584188,43.994935529,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.10558418813494708, 43.994935528949334]}",40,61.0,152.0,,316AA01,316AA01,316AA,1,5.0,4,2.0,1.0
09903X0113/F1,3.806093155,43.692114422,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.806093154895736, 43.69211442154378]}",34,150.0,116.7,,631AK01,631AK01,631AK,2,5.0,3,2.0,1.0
08278X0023/F1,-0.439629152,44.725394679,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.4396291518000207, 44.72539467917147]}",33,125.0,6.86,,,,,,,,,
07346X0083/F1,0.515892227,45.410346085,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [0.5158922271395, 45.4103460846669]}",24,100.0,175.0,,348AA03,348AA03,348AA,1,5.0,8,2.0,1.0
04555X0093/F1,-0.291706806,47.395714079,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.291706805696635, 47.3957140790328]}",49,40.0,24.0,['Calcaires du Lias et Dogger mayennais et sarthois captifs'],139AP14,139AP14,139AP,3,5.0,3,2.0,1.0
07062X0004/F1,-0.927776202,45.671391123,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.9277762019474433, 45.671391122684405]}",17,73.5,4.0,,348AA03,348AA03,348AA,1,5.0,8,2.0,1.0
08264X0004/F1,-0.75380329,44.818257872,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.753803289706696, 44.8182578721017]}",33,494.0,44.95,,334AG02,334AG02,334AG,1,5.0,4,2.0,1.0
09492X0014/F1,-1.300459591,43.874450946,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-1.3004595907245, 43.8744509464354]}",40,76.0,15.0,,308AC03,308AC03,308AC,3,5.0,1,2.0,1.0
05822X0024/F1,5.888461993,46.7255463,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.88846199301805, 46.7255462998842]}",39,14.0,528.22,['Calcaires et marnes jurassiques Haut Jura et Bugey -  BV Ain et Rhône'],515AI00,515AI00,515AI,2,5.0,3,2.0,3.0
05273X0134/F1,5.296980463,47.158906403,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.29698046328139, 47.158906402868]}",21,118.0,185.0,"[""Alluvions de la Saône entre les confluents de l'Ognon et du Doubs""]",505AA01,505AA01,505AA,1,5.0,1,2.0,1.0
08125X0044/F1,2.541051,44.820895,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.541051, 44.820895]}",15,161.5,725.0,,370AG08,370AG08,370AG,2,6.0,2,3.0,1.0
09257X0054/F1,-0.505676904,43.954186387,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.505676904393747, 43.9541863874905]}",40,309.0,69.0,,,,,,,,,
05266X0084/F1,4.838941689,47.053235188,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.83894168923258, 47.053235187802]}",21,183.0,242.0,,505AH00,505AH00,505AH,1,5.0,1,2.0,2.0
07796X0025/F1,-0.559992037,45.004941633,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.559992037411951, 45.0049416325614]}",33,248.0,5.0,,,,,,,,,
08051X0035/F1,0.056995711,44.920095905,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [0.056995711388901464, 44.92009590477524]}",24,312.0,36.0,,334AG03,334AG03,334AG,1,5.0,1,2.0,1.0
05264X0055/F1,5.013265326,47.098581939,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.01326532588722, 47.0985819386927]}",21,126.28,215.0,"['Graviers et calcaires lacustres profonds plio-quaternaires sous couverture du pied de côte (Vignoles, Meuzin, ?)']",505AB00,505AB00,505AB,3,6.0,X,2.0,2.0
